sex,dialect_region,speaker_id,durations
F,DR1,FCJF0,341823
M,DR4,MSTF0,464451
M,DR4,MSMS0,434479
M,DR4,MSMC0,421099
M,DR4,MSFH0,569103
M,DR4,MRSP0,436189
M,DR4,MRGM0,528329
M,DR4,MRFL0,494408
M,DR4,MRAB1,438548
M,DR4,MPRT0,384364
M,DR4,MPRK0,495593
M,DR4,MPEB0,393292
M,DR4,MNET0,371934
M,DR4,MMGC0,387059
M,DR4,MMDM0,439622
M,DR4,MMBS0,449967
M,DR4,MLSH0,461967
M,DR4,MLJH0,586049
M,DR4,MLJC0,426497
M,DR4,MLEL0,443789
M,DR4,MLBC0,428729
M,DR4,MKAM0,454974
M,DR4,MJXL0,443803
M,DR4,MJWS0,469440
M,DR4,MJSR0,496561
M,DR4,MJRH0,431683
M,DR4,MJPM1,423475
M,DR4,MSRG0,387669
M,DR4,MTAS0,339053
M,DR4,MJLS0,454203
M,DR4,MTQC0,599709
M,DR5,MMDM1,436123
M,DR5,MMCC0,391424
M,DR5,MMAB1,464104
M,DR5,MJXA0,396353
M,DR5,MJWG0,454934
M,DR5,MJRG0,444267
M,DR5,MJPG0,354432
M,DR5,MJFH0,347769
M,DR5,MJDM0,475329
M,DR5,MHMG0,398623
M,DR5,MHIT0,432038
M,DR5,MGSH0,439312
M,DR5,MGES0,353210
M,DR5,MFER0,341915
M,DR5,MEWM0,387808
M,DR5,MEGJ0,499786
M,DR5,MDWH0,520213
M,DR5,MDSJ0,437524
M,DR5,MDHL0,421979
M,DR5,MDAS0,386354
M,DR5,MCLM0,343292
M,DR5,MCHL0,420187
M,DR5,MBGT0,455226
M,DR4,MTRT0,419843
M,DR4,MTRC0,362670
M,DR4,MJMM0,385212
M,DR4,MJLB0,397603
M,DR5,MMWB0,582995
M,DR3,MRWA0,414547
M,DR3,MRTC0,486328
M,DR3,MRJB1,512458
M,DR3,MREH1,516794
M,DR3,MREE0,436082
M,DR3,MRDS0,377245
M,DR3,MRBC0,422070
M,DR3,MPRD0,443298
M,DR3,MMSM0,434370
M,DR3,MMJB1,424040
M,DR3,MMEB0,383706
M,DR3,MMAR0,527758
M,DR3,MMAM0,364002
M,DR3,MLNS0,378742
M,DR3,MKXL0,422099
M,DR3,MKLS1,426838
M,DR3,MJRH1,444447
M,DR3,MJLG1,383464
